old,notes,measure,position,voices,cat,events,
0,2,0,0,2,voices,2,
0.166667,2,0,8,2,voices,2,
0.333333,4,0,16,2,voices,2,
0.5,2,0,24,1,voices,1,
0.666667,2,0,32,1,voices,1,
0.75,1,0,36,1,voices,1,
0.833333,1,0,40,1,voices,1,
1,3,1,48,3,voices,3,
1.0625,1,1,51,1,voices,1,
1.125,1,1,54,1,voices,1,
1.16667,1,1,56,1,voices,1,
1.1875,1,1,57,1,voices,1,
1.25,2,1,60,2,voices,2,
1.3125,1,1,63,1,voices,1,
1.33333,2,1,64,1,voices,1,
1.375,1,1,66,1,voices,1,
1.4375,1,1,69,1,voices,1,
1.5,2,1,72,2,voices,2,
1.66667,1,1,80,1,voices,1,
1.75,1,1,84,1,voices,1,
1.83333,2,1,88,1,voices,1,
2,2,2,96,2,voices,2,
2.16667,1,2,104,1,voices,1,
2.33333,2,2,112,1,voices,1,
2.5,1,2,120,1,voices,1,
2.66667,1,2,128,1,voices,1,
2.75,1,2,132,1,voices,1,
2.83333,2,2,136,1,voices,1,
3,3,3,144,3,voices,3,
3.0625,1,3,147,1,voices,1,
3.125,1,3,150,1,voices,1,
3.16667,1,3,152,1,voices,1,
3.1875,1,3,153,1,voices,1,
3.25,2,3,156,2,voices,2,
3.3125,1,3,159,1,voices,1,
3.33333,2,3,160,1,voices,1,
3.375,1,3,162,1,voices,1,
3.4375,1,3,165,1,voices,1,
3.5,2,3,168,2,voices,2,
3.66667,1,3,176,1,voices,1,
3.75,1,3,180,1,voices,1,
3.83333,2,3,184,1,voices,1,
0,,0,0,,notes,2,
0.166667,,0,8,,notes,2,
0.333333,,0,16,,notes,4,
0.5,,0,24,,notes,2,
0.666667,,0,32,,notes,2,
0.75,,0,36,,notes,1,
0.833333,,0,40,,notes,1,
1,,1,48,,notes,3,
1.0625,,1,51,,notes,1,
1.125,,1,54,,notes,1,
1.16667,,1,56,,notes,1,
1.1875,,1,57,,notes,1,
1.25,,1,60,,notes,2,
1.3125,,1,63,,notes,1,
1.33333,,1,64,,notes,2,
1.375,,1,66,,notes,1,
1.4375,,1,69,,notes,1,
1.5,,1,72,,notes,2,
1.66667,,1,80,,notes,1,
1.75,,1,84,,notes,1,
1.83333,,1,88,,notes,2,
2,,2,96,,notes,2,
2.16667,,2,104,,notes,1,
2.33333,,2,112,,notes,2,
2.5,,2,120,,notes,1,
2.66667,,2,128,,notes,1,
2.75,,2,132,,notes,1,
2.83333,,2,136,,notes,2,
3,,3,144,,notes,3,
3.0625,,3,147,,notes,1,
3.125,,3,150,,notes,1,
3.16667,,3,152,,notes,1,
3.1875,,3,153,,notes,1,
3.25,,3,156,,notes,2,
3.3125,,3,159,,notes,1,
3.33333,,3,160,,notes,2,
3.375,,3,162,,notes,1,
3.4375,,3,165,,notes,1,
3.5,,3,168,,notes,2,
3.66667,,3,176,,notes,1,
3.75,,3,180,,notes,1,
3.83333,,3,184,,notes,2,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,