Composition Year,Full Unit Start Mean Tempo
1891,100
1893,63
1893,58
1893,58
1894,44
1897,96
1897,96
1903,60.00
1903,92
1903,40
1904,100
1904,120
1905,92
1905,92
1905,116
1905,116
1905,116
1905,128
1905,116
1905,96
1905,96
1906,72
1906,72
1906,52
1906,104.00
1908,42
1908,80
1908,76
1908,92
1908,176
1908,76
1909,72
1909,100
1909,100
1909,160
1909,96
1910,76
1910,84
1910,112
1911,72
1911,72
1911,92
1911,44
1911,138
1911,138
1911,184
1911,69
1912,50
1912,96
1912,126
1912,156
1912,156
1912,88
1913,40
1913,50
1913,92
1913,60
1913,50
1913,52
1913,84.00
1913,54
1913,126
1913,132
1913,168
1913,168
1913,168
1913,52
1914,92
1914,126
1914,132
1914,60
1915,132
1915,60
1915,66
1915,66
1915,66
1915,66
1915,66
1915,66
1915,66
1915,69
1915,114
1915,100
1915,152
1915,66
1915,132
1916,126
1916,92
1916,122
1917,54.00
1917,55
1917,72
1917,60
1917,160
1917,72
1918,48
1918,56
1918,58
1918,60
1918,112
1918,112
1918,60
1919,88
1919,40
1919,120
1919,72
1919,88
1919,132
1919,96
1919,96
1919,55
1919,104
1919,60
1919,55
1919,132
1919,120
1919,55
1919,72.5
1919,55
1920,58
1920,84
1920,132
1921,56
1921,60
1921,66
1921,112
1921,60
1921,60
1921,60
1921,60
1921,120
1922,108
1922,100.00
1922,120.00
1922,84
1922,88
1922,100
1922,100.00
1922,100.00
1922,116
1922,80
1922,160
1923,120
1923,66
1923,66
1923,66
1923,60
1923,58
1923,100
1923,100
1923,96
1923,116
1923,120
1923,120
1923,129
1923,58
1923,168
1923,140
1923,168
1923,66
1924,84
1924,104
1924,160
1924,80
1924,80
1924,126
1925,52.00
1925,56.00
1925,132
1925,50
1925,109
1925,84
1925,69
1925,96
1925,92
1925,80
1925,144
1925,144
1925,112
1925,116
1925,116
1925,116
1925,126
1925,126
1925,96
1925,60
1925,144
1925,80
1925,48
1925,52
1926,50
1926,100
1926,69
1926,100
1926,80
1926,80
1926,100
1926,69
1926,123
1926,123
1926,146.00
1926,100
1926,112
1926,146.00
1926,150
1926,152
1926,116
1926,152
1926,72
1926,80
1926,134
1926,132
1927,42.00
1927,50
1927,60
1927,42.00
1927,94
1927,100
1927,100
1927,108
1927,96
1927,132
1927,152
1927,100
1927,100
1928,88
1928,160
1928,100
1928,104
1928,110
1928,60
1928,60
1928,126
1928,126
1928,126
1928,126
1928,144
1928,152
1928,52
1929,40
1929,200
1929,120
1929,144
1929,60
1929,60
1929,60
1929,40
1929,92
1930,78
1930,48
1930,78
1930,112
1930,120
1930,120
1930,132
1930,44
1930,138
1930,144
1930,156
1931,50
1931,69
1931,69
1931,76
1931,96
1931,104
1931,116
1931,116
1931,104
1931,120
1931,140
1932,108
1932,48
1932,94
1932,66
1932,66
1932,96
1932,78
1932,96
1932,100
1932,96
1932,108
1932,94
1932,132
1932,88
1933,72
1933,76
1933,94
1933,144
1933,144
1933,144
1933,198
1933,96
1934,50
1934,50
1934,60
1934,60
1934,80
1934,135
1934,80
1935,52
1935,76
1935,96
1935,108
1935,52
1935,132
1935,52
1936,64
1936,72
1936,64
1936,72
1936,168
1936,92
1936,112
1936,114.00
1936,126
1936,141
1936,152
1936,69
1936,116
1938,69
1938,70.5
1938,92.00
1938,108
1938,108
1938,100
1938,120
1938,120
1938,120
1939,60
1939,80
1939,80
1939,92
1939,96
1939,96.00
1939,152
1939,152
1939,80
1939,80
1939,53
1939,120
1939,152
1939,152
1939,92
1940,50
1940,96
1940,116
1940,86
1940,50
1940,92
1941,54.00
1941,54
1941,56
1941,58
1941,58
1941,54
1941,80.00
1941,100
1941,100
1941,176
1941,56
1941,108
1941,60
1941,120
1942,69
1942,108
1942,104.00
1942,106
1942,120
1942,120
1942,200
1943,50
1943,63
1943,72
1943,92
1943,55
1943,63
1943,72
1943,72
1943,108
1943,108
1943,114
1943,120
1943,128
1943,132
1943,172
1943,60
1944,66
1944,72
1944,76
1944,80
1944,100
1944,100
1944,100
1944,84
1944,126
1944,132
1944,132
1944,144
1944,144
1944,160
1944,160
1944,160
1944,168.00
1944,46
1944,100
1945,80
1945,80
1945,92
1945,98
1945,112
1945,126
1945,160
1945,126
1945,80
1945,100
1946,60
1946,72
1946,78
1946,80
1946,84
1946,84
1946,126.00
1946,126.00
1946,84
1946,144
1947,80
1947,152
1948,60
1948,138
1948,138
1948,63
1948,120
1948,80
1948,76
1948,92
1948,76
1948,100
1948,100
1948,100
1948,138
1948,92
1948,66
1948,120
1948,120
1948,100
1948,132
1948,92
1948,138
1948,92
1948,92
1949,44
1949,60
1949,92
1949,180
1950,92
1950,108
1950,108
1950,108
1950,118.00
1950,120
1950,120
1950,120
1951,66
1951,40
1951,52
1951,96
1951,100
1952,45
1952,72
1953,116
1953,50
1953,45
1954,92
1954,48
1955,66
1955,60.5
1955,108
1955,66
1955,112
1955,52.00
1955,61.5
1956,100
1956,108
1956,69
1957,208
1958,40
1958,56
1958,54
1958,80
1958,80
1958,76
1958,72
1958,54
1959,48
1959,88
1959,92
1959,144
1960,56
1960,144
1962,63
1962,80
1962,63
1962,69.00
1962,100
1963,132
1964,92
1964,132
1965,63
1967,52
1967,69
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,